store,title,price_per_unit,price
REMA-1000,Vingeklubber/hotwings,"600-700 g•maks kr 74,83/kg","kr 44,90"
REMA-1000,Kjøttboller,"525 g•kr 104,57/kg","kr 54,90"
REMA-1000,Anthon berg iskake,"1 000 ml•kr 89,90/l","kr 89,90"
REMA-1000,Marsipankake,"900 g•kr 166,56/kg","kr 149,90"
REMA-1000,Sjokoladekake,"700 g•kr 171,29/kg","kr 119,90"
REMA-1000,Go' morgen 6 pk,"6x190 g•kr 52,54/kg","kr 59,90"
REMA-1000,Villa lett 10 pk,"10x330 ml•kr 18,15/l","kr 59,90"
REMA-1000,Melkehjerter,"130 g•kr 306,92/kg","kr 39,90"
REMA-1000,Prima pinnekjøtt,"1 kg•kr 249,90/kg","kr 249,90"
REMA-1000,Tynnribbe med svor,1 kg•kr 109/kg,kr 109
REMA-1000,Pinnekjøtt lam,"1 kg•kr 329,90/kg","kr 329,90"
REMA-1000,Kyllingfilet,"1 000 g•kr 158,20/kg","kr 158,20"
REMA-1000,Smash,"200 g• kr 199,50/kg","kr 39,90"
REMA-1000,Cheez doodles,"120 g• kr 199,17/kg","kr 23,90"
REMA-1000,Råkostsalat,"250 g• kr 79,60/kg","kr 19,90"
REMA-1000,Ternet bacon,"250 g• kr 139,60/kg","kr 34,90"
REMA-1000,I love hjerter salt,2x100 g• kr 250/kg,kr 50
REMA-1000,Marsipankake,"900 g• kr 166,56/kg","kr 149,90"
REMA-1000,Medisterkaker,"800 g• kr 99,88/kg","kr 79,90"
REMA-1000,Røkt laks skivet,"350 g• kr 467,14/kg","kr 163,50"
REMA-1000,Tomat-/rømme-/sursild,"250 g• kr 99,60/kg","kr 24,90"
REMA-1000,Big beef burger,"350 g• kr 165,43/kg","kr 57,90"
REMA-1000,Bacon,"400 g• kr 199,75/kg","kr 79,90"
REMA-1000,Svinekoteletter,"1 kg• kr 79,90/kg","kr 79,90"
REMA-1000,Kålrotstappe,"700 g• kr 49,86/kg","kr 34,90"
REMA-1000,Fløtepotet,"1,2 kg• kr 49,92/kg","kr 59,90"
REMA-1000,Mandelpotet,"1 000 g• kr 39,90/kg","kr 39,90"
REMA-1000,RØDLØK/GUL LØK,,"kr 14,90"
REMA-1000,Gulrot pose,"1 000 g• kr 24,90/kg","kr 24,90"
REMA-1000,Fiskeburger,"2x440 g• kr 90,91/kg",kr 80
REMA-1000,Surdeig iberico toast,"420 g• kr 142,62/kg","kr 59,90"
REMA-1000,Sjoko-/karamellpudding,"2x170 g• kr 161,76/kg",kr 55
REMA-1000,Lutefisk helside,1 kg• kr 199/kg,kr 199
REMA-1000,Svibel 8 cm,,kr 10
REMA-1000,Julepølse røkt,"400 g• kr 99,75/kg","kr 39,90"
REMA-1000,Strimlet kyllingfilet,"450 g• kr 175,33/kg","kr 78,90"
REMA-1000,Go' morgen 6 pk,"6x190 g• kr 52,54/kg","kr 59,90"
REMA-1000,Mini tacobaguette,"320 g• kr 155,94/kg","kr 49,90"
REMA-1000,Urøkt pinnekjøtt,1 kg• kr 299/kg,kr 299
